Transaction_ID,Date,Stock_Symbol,Sector,Transaction_Type,Quantity,Price_Per_Share,Gross_Value,Brokerage,STT,Net_Value,Broker,Exchange,Currency
TXN00019,12-01-2023,BAJFINANCE,Finance,SELL,60,7304.24,438254.4,131.48,438.25,437684.67,Zerodha,NSE,INR
TXN00020,25-04-2023,TATAMOTORS,Auto,SELL,99,1021.5,101128.5,30.34,101.13,100997.03,Upstox,NSE,INR
TXN00021,27-05-2024,BAJFINANCE,Finance,SELL,1,6371.88,6371.88,1.91,6.37,6363.6,Groww,NSE,INR
TXN00022,03-06-2024,TATAMOTORS,Auto,SELL,81,1067.6,86475.6,25.94,86.48,86363.18,HDFC Sec,NSE,INR
TXN00023,27-06-2024,HDFCBANK,Banking,BUY,98,1451.28,142225.44,42.67,142.23,142410.34,Zerodha,NSE,INR
TXN00024,07-01-2024,MARUTI,Auto,BUY,3,,35521.77,10.66,35.52,35567.95,Upstox,NSE,INR
TXN00025,29-03-2023,HDFCBANK,Banking,BUY,73,1405.15,102575.95,30.77,102.58,102709.3,Angel One,NSE,INR
TXN00026,12-05-2023,TCS,IT,BUY,69,4459.24,307687.56,92.31,307.69,308087.56,Angel One,NSE,INR
TXN00027,05-08-2023,TATAMOTORS,Auto,SELL,68,854.56,58110.08,17.43,58.11,58034.54,HDFC Sec,NSE,INR
TXN00028,24-03-2024,HDFCBANK,Banking,SELL,52,1723.49,89621.48,26.89,89.62,89504.97,HDFC Sec,NSE,INR
TXN00029,13-12-2023,SBIN,Banking,BUY,29,717.9,20819.1,6.25,20.82,20846.17,Zerodha,NSE,INR
TXN00030,08-01-2023,MARUTI,Auto,BUY,76,,965367.96,289.61,965.37,966622.94,Zerodha,NSE,INR
TXN00031,14-03-2023,RELIANCE,Energy,SELL,5,2572.31,12861.55,3.86,12.86,12844.83,HDFC Sec,NSE,INR
TXN00032,16-05-2023,HDFCBANK,Banking,BUY,63,1512.34,95277.42,28.58,95.28,95401.28,HDFC Sec,NSE,INR
TXN00033,14-07-2023,MARUTI,Auto,SELL,61,12397.52,756248.72,226.87,756.25,755265.6,Zerodha,NSE,INR
TXN00034,25-02-2024,TCS,IT,SELL,46,4086.01,187956.46,56.39,187.96,187712.11,Angel One,NSE,INR
TXN00035,04-03-2023,RELIANCE,Energy,BUY,83,2945.63,244487.29,73.35,244.49,244805.13,Angel One,NSE,INR
TXN00036,16-07-2023,ICICIBANK,Banking,BUY,14,1340.92,18772.88,5.63,18.77,18797.28,Groww,NSE,INR
TXN00037,13-10-2023,TATAMOTORS,Auto,BUY,55,935.35,51444.25,15.43,51.44,51511.12,Angel One,NSE,INR
TXN00038,11-04-2023,HDFCBANK,Banking,SELL,10,1802,18020,5.41,18.02,17996.57,Zerodha,NSE,INR
TXN00039,20-06-2023,TATAMOTORS,Auto,BUY,12,1045.77,12549.24,3.76,12.55,12565.55,Angel One,NSE,INR
TXN00040,18-06-2023,SBIN,Banking,BUY,52,805.47,41884.44,12.57,41.88,41938.89,Angel One,NSE,INR
TXN00041,20-10-2023,RELIANCE,Energy,SELL,34,3207.66,109060.44,32.72,109.06,108918.66,Angel One,NSE,INR
TXN00042,14-07-2023,TATAMOTORS,Auto,BUY,63,996.13,62756.19,18.83,62.76,62837.78,Upstox,NSE,INR
TXN00043,18-11-2023,HDFCBANK,Banking,BUY,75,1847.79,138584.25,41.58,138.58,138764.41,Zerodha,NSE,INR
TXN00044,28-02-2023,RELIANCE,Energy,BUY,65,2870.71,186596.15,55.98,186.6,186838.73,HDFC Sec,NSE,INR
TXN00045,29-08-2023,TCS,IT,BUY,9,4311.07,38799.63,11.64,38.8,38850.07,Angel One,NSE,INR
TXN00046,10-02-2023,TCS,IT,BUY,73,4416.67,322416.91,96.73,322.42,322836.06,HDFC Sec,NSE,INR
TXN00047,25-09-2023,TCS,IT,SELL,75,3805.49,285411.75,85.62,285.41,285040.72,Groww,NSE,INR
TXN00048,04-11-2023,ICICIBANK,Banking,BUY,51,1133.58,57812.58,17.34,57.81,57887.73,Angel One,NSE,INR
TXN00049,14-04-2024,ICICIBANK,Banking,BUY,10,1388.31,13883.1,4.16,13.88,13901.14,HDFC Sec,NSE,INR
TXN00050,02-06-2024,MARUTI,Auto,BUY,10,14360.36,143603.6,43.08,143.6,143790.28,Upstox,NSE,INR
TXN00051,14-01-2024,INFY,IT,BUY,9,1977.46,17797.14,5.34,17.8,17820.28,Upstox,NSE,INR
TXN00052,25-06-2024,INFY,IT,SELL,70,1717.55,120228.5,36.07,120.23,120072.2,Zerodha,NSE,INR
TXN00053,18-05-2023,TATAMOTORS,Auto,BUY,85,892.82,75889.7,22.77,75.89,75988.36,Upstox,NSE,INR
TXN00054,06-10-2023,TCS,IT,BUY,96,4355.96,418172.16,125.45,418.17,418715.78,Upstox,NSE,INR
TXN00055,28-09-2023,MARUTI,Auto,BUY,44,11414.86,502253.84,150.68,502.25,502906.77,HDFC Sec,NSE,INR
TXN00056,09-03-2024,SBIN,Banking,BUY,7,749.52,5246.64,1.57,5.25,5253.46,Upstox,NSE,INR
TXN00057,26-09-2023,RELIANCE,Energy,BUY,99,2382.98,235915.02,70.77,235.92,236221.71,Groww,NSE,INR
TXN00058,25-04-2023,SBIN,Banking,BUY,55,822.56,45240.8,13.57,45.24,45299.61,Zerodha,NSE,INR
TXN00059,16-03-2024,INFY,IT,BUY,48,1773.93,85148.64,25.54,85.15,85259.33,Groww,NSE,INR
TXN00060,04-08-2023,RELIANCE,Energy,SELL,6,2638.94,15833.64,4.75,15.83,15813.06,Groww,NSE,INR
TXN00061,08-06-2023,TCS,IT,SELL,72,3728.8,268473.6,80.54,268.47,268124.59,Groww,NSE,INR
TXN00062,26-01-2023,INFY,IT,SELL,23,2000.01,46000.23,13.8,46,45940.43,Groww,NSE,INR
TXN00063,01-10-2023,ICICIBANK,Banking,BUY,53,1334.2,70712.6,21.21,70.71,70804.52,Groww,NSE,INR
TXN00064,16-08-2023,TCS,IT,SELL,5,3762.57,18812.85,5.64,18.81,18788.4,Groww,NSE,INR
TXN00065,25-01-2023,SBIN,Banking,BUY,30,773.47,23204.1,6.96,23.2,23234.26,Groww,NSE,INR
TXN00066,26-12-2023,BAJFINANCE,Finance,SELL,9,,60607.8,18.18,60.61,60529.01,HDFC Sec,NSE,INR
TXN00067,29-01-2023,BAJFINANCE,Finance,SELL,69,7482.37,516283.53,154.89,516.28,515612.36,Zerodha,NSE,INR
TXN00068,22-04-2023,WIPRO,IT,BUY,34,460.82,15667.88,4.7,15.67,15688.25,HDFC Sec,NSE,INR
TXN00069,07-06-2024,BAJFINANCE,Finance,SELL,41,6771.31,277623.71,83.29,277.62,277262.8,Zerodha,NSE,INR
TXN00070,15-02-2023,BAJFINANCE,Finance,SELL,25,7950.95,198773.75,59.63,198.77,198515.35,Angel One,NSE,INR
TXN00071,08-01-2024,RELIANCE,Energy,BUY,69,2816.73,194354.37,58.31,194.35,194607.03,Angel One,NSE,INR
TXN00072,08-05-2023,TCS,IT,SELL,43,4425.18,190282.74,57.08,190.28,190035.38,Upstox,NSE,INR
TXN00073,17-02-2024,TATAMOTORS,Auto,SELL,53,895.65,47469.45,14.24,47.47,47407.74,Upstox,NSE,INR
TXN00074,28-06-2023,TATAMOTORS,Auto,SELL,54,843.78,45564.12,13.67,45.56,45504.89,HDFC Sec,NSE,INR
TXN00075,08-11-2023,MARUTI,Auto,BUY,71,11753.56,834502.76,250.35,834.5,835587.61,Upstox,NSE,INR
TXN00076,21-04-2024,HDFCBANK,Banking,SELL,75,1585.93,118944.75,35.68,118.94,118790.13,Angel One,NSE,INR
TXN00077,23-06-2023,SBIN,Banking,SELL,66,852.68,56276.88,16.88,56.28,56203.72,Zerodha,NSE,INR
TXN00078,06-04-2023,WIPRO,IT,SELL,82,512.36,42013.52,12.6,42.01,41958.91,Groww,NSE,INR
TXN00079,26-01-2023,WIPRO,IT,BUY,26,467.87,12164.62,3.65,12.16,12180.43,Zerodha,NSE,INR
TXN00080,11-04-2024,HDFCBANK,Banking,BUY,79,,146560.01,43.97,146.56,146750.54,Angel One,NSE,INR
TXN00081,21-05-2024,MARUTI,Auto,SELL,90,11354.13,1021871.7,306.56,1021.87,1020543.27,Angel One,NSE,INR
TXN00082,20-04-2023,HDFCBANK,Banking,BUY,89,1448.72,128936.08,38.68,128.94,129103.7,Angel One,NSE,INR
TXN00083,21-02-2023,HDFCBANK,Banking,SELL,90,1462.48,131623.2,39.49,131.62,131452.09,HDFC Sec,NSE,INR
TXN00084,17-05-2023,HDFCBANK,Banking,SELL,16,1822.89,29166.24,8.75,29.17,29128.32,Angel One,NSE,INR
TXN00085,29-03-2024,TATAMOTORS,Auto,SELL,77,,83856.85,25.16,83.86,83747.83,HDFC Sec,NSE,INR
TXN00086,12-06-2023,TATAMOTORS,Auto,SELL,71,929.12,65967.52,19.79,65.97,65881.76,Angel One,NSE,INR
TXN00087,17-06-2024,SBIN,Banking,SELL,32,751.48,24047.36,7.21,24.05,24016.1,Angel One,NSE,INR
TXN00088,29-08-2023,HDFCBANK,Banking,SELL,10,1510.45,15104.5,4.53,15.1,15084.87,Upstox,NSE,INR
TXN00089,22-05-2023,ICICIBANK,Banking,BUY,70,1163.47,81442.9,24.43,81.44,81548.77,Groww,NSE,INR
TXN00090,07-03-2023,HDFCBANK,Banking,BUY,20,1563.16,31263.2,9.38,31.26,31303.84,Angel One,NSE,INR
TXN00091,05-03-2023,BAJFINANCE,Finance,SELL,60,6739.78,404386.8,121.32,404.39,403861.09,Groww,NSE,INR
TXN00092,25-01-2024,BAJFINANCE,Finance,BUY,99,6864.59,679594.41,203.88,679.59,680477.88,Angel One,NSE,INR
TXN00093,05-03-2024,RELIANCE,Energy,SELL,39,3171.9,123704.1,37.11,123.7,123543.29,HDFC Sec,NSE,INR
TXN00094,13-08-2023,TATAMOTORS,Auto,SELL,29,1035.46,30028.34,9.01,30.03,29989.3,Upstox,NSE,INR
TXN00095,19-02-2024,BAJFINANCE,Finance,SELL,50,7069.42,353471,106.04,353.47,353011.49,Groww,NSE,INR
TXN00096,08-02-2024,SBIN,Banking,BUY,80,911.95,72956,21.89,72.96,73050.85,HDFC Sec,NSE,INR
TXN00097,19-05-2023,MARUTI,Auto,SELL,11,13111.25,144223.75,43.27,144.22,144036.26,Angel One,NSE,INR
TXN00098,05-08-2023,INFY,IT,SELL,49,1513.9,74181.1,22.25,74.18,74084.67,Angel One,NSE,INR
TXN00099,07-03-2024,ICICIBANK,Banking,SELL,49,1170.04,57331.96,17.2,57.33,57257.43,Upstox,NSE,INR
TXN00100,25-12-2023,TCS,IT,BUY,96,3865.26,371064.96,111.32,371.06,371547.34,Groww,NSE,INR
TXN00101,01-02-2023,TCS,IT,BUY,84,4229.04,355239.36,106.57,355.24,355701.17,Groww,NSE,INR
TXN00102,02-09-2023,HDFCBANK,Banking,BUY,80,1784.87,142789.6,42.84,142.79,142975.23,Groww,NSE,INR
TXN00103,21-04-2024,SBIN,Banking,BUY,73,851.18,62136.14,18.64,62.14,62216.92,Upstox,NSE,INR
TXN00104,17-06-2023,ICICIBANK,Banking,BUY,78,1107.41,86377.98,25.91,86.38,86490.27,Upstox,NSE,INR
TXN00105,11-02-2024,TCS,IT,SELL,40,3992.06,159682.4,47.9,159.68,159474.82,Groww,NSE,INR
TXN00106,15-04-2023,TCS,IT,BUY,81,4007.75,324627.75,97.39,324.63,325049.77,Upstox,NSE,INR
TXN00107,22-12-2023,MARUTI,Auto,BUY,73,,996138.29,298.84,996.14,997433.27,HDFC Sec,NSE,INR
TXN00108,13-01-2023,BAJFINANCE,Finance,SELL,9,7444.04,66996.36,20.1,67,66909.26,,NSE,INR
TXN00109,06-06-2023,SBIN,Banking,SELL,47,714.15,33565.05,10.07,33.57,33521.41,Angel One,NSE,INR
TXN00110,10-05-2024,INFY,IT,SELL,84,1872.74,157310.16,47.19,157.31,157105.66,Angel One,NSE,INR
TXN00111,27-11-2023,BAJFINANCE,Finance,SELL,76,7793.81,592329.56,177.7,592.33,591559.53,Groww,NSE,INR
TXN00112,20-04-2024,TCS,IT,BUY,58,3641.35,211198.3,63.36,211.2,211472.86,HDFC Sec,NSE,INR
TXN00113,21-05-2024,MARUTI,Auto,BUY,44,13130.71,577751.24,173.33,577.75,578502.32,Upstox,NSE,INR
TXN00114,15-12-2023,INFY,IT,SELL,46,1743.46,80199.16,24.06,80.2,80094.9,Upstox,NSE,INR
TXN00115,13-06-2024,MARUTI,Auto,BUY,36,13254.44,477159.84,143.15,477.16,477780.15,Groww,NSE,INR
TXN00116,04-09-2023,TCS,IT,SELL,53,3597.39,190661.67,57.2,190.66,190413.81,Angel One,NSE,INR
TXN00117,29-10-2023,SBIN,Banking,BUY,3,797.41,2392.23,0.72,2.39,2395.34,Groww,NSE,INR
TXN00118,29-04-2024,BAJFINANCE,Finance,SELL,40,7508.51,300340.4,90.1,300.34,299949.96,HDFC Sec,NSE,INR
TXN00119,27-12-2023,TATAMOTORS,Auto,SELL,96,905.47,86925.12,26.08,86.93,86812.11,Angel One,NSE,INR
TXN00120,17-07-2023,WIPRO,IT,BUY,30,480.41,14412.3,4.32,14.41,14431.03,Upstox,NSE,INR
TXN00121,16-07-2023,TCS,IT,BUY,98,4184.17,410048.66,123.01,410.05,410581.72,Groww,NSE,INR
TXN00122,13-04-2023,SBIN,Banking,SELL,76,755.69,57432.44,17.23,57.43,57357.78,Groww,NSE,INR
TXN00123,15-01-2023,WIPRO,IT,SELL,23,468.3,10770.9,3.23,10.77,10756.9,HDFC Sec,NSE,INR
TXN00124,10-05-2023,INFY,IT,SELL,7,1631.51,11420.57,3.43,11.42,11405.72,Angel One,NSE,INR
TXN00125,25-04-2024,TCS,IT,SELL,74,4336.08,320869.92,96.26,320.87,320452.79,Angel One,NSE,INR
TXN00126,04-05-2024,SBIN,Banking,SELL,7,771.29,5399.03,1.62,5.4,5392.01,Zerodha,NSE,INR
TXN00127,05-06-2023,TCS,IT,BUY,10,3783.83,37838.3,11.35,37.84,37887.49,Groww,NSE,INR
TXN00128,02-05-2023,MARUTI,Auto,BUY,11,14184.22,156026.42,46.81,156.03,156229.26,HDFC Sec,NSE,INR
TXN00129,19-06-2024,BAJFINANCE,Finance,BUY,80,7326.46,586116.8,175.84,586.12,586878.76,Angel One,NSE,INR
TXN00130,09-11-2023,SBIN,Banking,SELL,39,909.27,35461.53,10.64,35.46,35415.43,HDFC Sec,NSE,INR
TXN00131,01-08-2023,MARUTI,Auto,BUY,95,10850.86,1030831.7,309.25,1030.83,1032171.78,Groww,NSE,INR
TXN00132,27-06-2023,WIPRO,IT,BUY,21,534.55,11225.55,3.37,11.23,11240.15,HDFC Sec,NSE,INR
TXN00133,26-04-2024,TCS,IT,SELL,53,3498.14,185401.42,55.62,185.4,185160.4,Upstox,NSE,INR
TXN00134,09-04-2024,RELIANCE,Energy,SELL,91,2574.44,234274.04,70.28,234.27,233969.49,Zerodha,NSE,INR
TXN00135,11-03-2024,HDFCBANK,Banking,BUY,81,1826.02,147907.62,44.37,147.91,148099.9,Zerodha,NSE,INR
TXN00136,26-05-2023,TATAMOTORS,Auto,SELL,20,871.57,17431.4,5.23,17.43,17408.74,Zerodha,NSE,INR
TXN00137,25-03-2024,RELIANCE,Energy,SELL,40,2519.38,100775.2,30.23,100.78,100644.19,Zerodha,NSE,INR
TXN00138,06-10-2023,SBIN,Banking,SELL,90,855.85,77026.5,23.11,77.03,76926.36,HDFC Sec,NSE,INR
TXN00139,18-03-2024,TATAMOTORS,Auto,BUY,11,948.23,10430.53,3.13,10.43,10444.09,Upstox,NSE,INR
TXN00140,22-01-2023,MARUTI,Auto,BUY,12,11563.88,138766.56,41.63,138.77,138946.96,Upstox,NSE,INR
TXN00141,26-04-2024,MARUTI,Auto,BUY,97,10775.87,1045259.39,313.58,1045.26,1046618.23,HDFC Sec,NSE,INR
TXN00142,18-05-2024,SBIN,Banking,SELL,24,911.11,21866.64,6.56,21.87,21838.21,Zerodha,NSE,INR
TXN00143,18-04-2023,SBIN,Banking,SELL,43,773.05,33241.15,9.97,33.24,33197.94,Groww,NSE,INR
TXN00144,15-02-2024,ICICIBANK,Banking,SELL,64,1197.4,76633.6,22.99,76.63,76533.98,HDFC Sec,NSE,INR
TXN00145,28-11-2023,RELIANCE,Energy,SELL,41,2762.05,113244.05,33.97,113.24,113096.84,Zerodha,NSE,INR
TXN00146,28-02-2024,BAJFINANCE,Finance,SELL,1,7877.26,7877.26,2.36,7.88,7867.02,Zerodha,NSE,INR
TXN00147,28-03-2024,HDFCBANK,Banking,SELL,80,1628.96,130316.8,39.1,130.32,130147.38,Zerodha,NSE,INR
TXN00148,24-03-2024,HDFCBANK,Banking,SELL,17,1506.79,25615.43,7.68,25.62,25582.13,Angel One,NSE,INR
TXN00149,12-06-2023,TCS,IT,BUY,81,3348.78,271251.18,81.38,271.25,271603.81,Upstox,NSE,INR
TXN00150,19-08-2023,TATAMOTORS,Auto,BUY,53,811.4,43004.2,12.9,43,43060.1,Zerodha,NSE,INR
TXN00151,25-05-2024,SBIN,Banking,BUY,83,918.64,76247.12,22.87,76.25,76346.24,Upstox,NSE,INR
TXN00152,28-04-2024,TATAMOTORS,Auto,SELL,54,1008.54,54461.16,16.34,54.46,54390.36,Groww,NSE,INR
TXN00153,04-06-2024,SBIN,Banking,BUY,50,822.46,41123,12.34,41.12,41176.46,Groww,NSE,INR
TXN00154,03-06-2024,TCS,IT,SELL,54,3638.21,196463.34,58.94,196.46,196207.94,Upstox,NSE,INR
TXN00155,02-06-2023,RELIANCE,Energy,SELL,39,2617.58,102085.62,30.63,102.09,101952.9,Angel One,NSE,INR
TXN00156,11-04-2024,TATAMOTORS,Auto,SELL,43,945.54,40658.22,12.2,40.66,40605.36,Upstox,NSE,INR
TXN00157,28-08-2023,HDFCBANK,Banking,SELL,31,1853.66,57463.46,17.24,57.46,57388.76,Angel One,NSE,INR
TXN00158,31-01-2024,RELIANCE,Energy,SELL,61,,161483.47,48.45,161.48,161273.54,Groww,NSE,INR
TXN00159,13-04-2023,SBIN,Banking,SELL,17,922.95,15690.15,4.71,15.69,15669.75,Angel One,NSE,INR
TXN00160,28-05-2023,TCS,IT,BUY,59,3930.36,231891.24,69.57,231.89,232192.7,Angel One,NSE,INR
TXN00161,12-02-2024,INFY,IT,SELL,34,1526.78,51910.52,15.57,51.91,51843.04,Zerodha,NSE,INR
TXN00162,21-11-2023,ICICIBANK,Banking,SELL,69,1360.01,93840.69,28.15,93.84,93718.7,Angel One,NSE,INR
TXN00163,22-10-2023,TATAMOTORS,Auto,BUY,9,817.73,7359.57,2.21,7.36,7369.14,Groww,NSE,INR
TXN00164,30-03-2024,TCS,IT,BUY,13,3822.75,49695.75,14.91,49.7,49760.36,Groww,NSE,INR
TXN00165,27-02-2023,WIPRO,IT,SELL,6,571.72,3430.32,1.03,3.43,3425.86,Upstox,NSE,INR
TXN00166,27-06-2024,ICICIBANK,Banking,BUY,19,1183.82,22492.58,6.75,22.49,22521.82,Angel One,NSE,INR
TXN00167,29-06-2023,MARUTI,Auto,BUY,24,13181.75,316362,94.91,316.36,316773.27,Zerodha,NSE,INR
TXN00168,24-05-2024,MARUTI,Auto,BUY,80,13890.65,1111252,333.38,1111.25,1112696.63,HDFC Sec,NSE,INR
TXN00169,15-04-2024,INFY,IT,SELL,82,,131970.8,39.59,131.97,131799.24,Upstox,NSE,INR
TXN00170,11-06-2023,RELIANCE,Energy,SELL,60,3135.08,188104.8,56.43,188.1,187860.27,Zerodha,NSE,INR
TXN00171,10-03-2024,SBIN,Banking,SELL,76,918.19,69782.44,20.93,69.78,69691.73,Upstox,NSE,INR
TXN00172,09-05-2024,SBIN,Banking,SELL,26,893.91,23241.66,6.97,23.24,23211.45,Zerodha,NSE,INR
TXN00173,30-10-2023,HDFCBANK,Banking,SELL,46,1562.34,71867.64,21.56,71.87,71774.21,Zerodha,NSE,INR
TXN00174,23-05-2024,BAJFINANCE,Finance,BUY,73,6619.64,483233.72,144.97,483.23,483861.92,,NSE,INR
TXN00175,14-07-2023,HDFCBANK,Banking,BUY,46,1672.03,76913.38,23.07,76.91,77013.36,HDFC Sec,NSE,INR
TXN00176,10-04-2023,WIPRO,IT,BUY,93,537.2,49959.6,14.99,49.96,50024.55,Zerodha,NSE,INR
TXN00177,15-05-2023,WIPRO,IT,SELL,5,554.16,2770.8,0.83,2.77,2767.2,Zerodha,NSE,INR
TXN00178,25-07-2023,WIPRO,IT,BUY,54,483.49,26108.46,7.83,26.11,26142.4,Groww,NSE,INR
TXN00179,18-06-2023,TATAMOTORS,Auto,SELL,47,1057.29,49692.63,14.91,49.69,49628.03,Upstox,NSE,INR
TXN00180,28-04-2023,SBIN,Banking,SELL,38,923.57,35095.66,10.53,35.1,35050.03,Angel One,NSE,INR
TXN00181,10-01-2024,TCS,IT,SELL,29,3479.69,100911.01,30.27,100.91,100779.83,Zerodha,NSE,INR
TXN00182,10-04-2024,BAJFINANCE,Finance,BUY,69,6064.65,418460.85,125.54,418.46,419004.85,Upstox,NSE,INR
TXN00183,21-04-2023,WIPRO,IT,SELL,82,522.94,42881.08,12.86,42.88,42825.34,Groww,NSE,INR
TXN00184,15-08-2023,SBIN,Banking,SELL,72,694.58,50009.76,15,50.01,49944.75,Zerodha,NSE,INR
TXN00185,30-04-2023,SBIN,Banking,SELL,39,909.48,35469.72,10.64,35.47,35423.61,Groww,NSE,INR
TXN00186,29-04-2023,RELIANCE,Energy,SELL,39,3174.86,123819.54,37.15,123.82,123658.57,Zerodha,NSE,INR
TXN00187,09-04-2024,HDFCBANK,Banking,SELL,18,1808.21,32547.78,9.76,32.55,32505.47,Upstox,NSE,INR
TXN00188,29-02-2024,TATAMOTORS,Auto,BUY,96,926.95,88987.2,26.7,88.99,89102.89,Zerodha,NSE,INR
TXN00189,15-01-2024,SBIN,Banking,BUY,36,838.1,30171.6,9.05,30.17,30210.82,Groww,NSE,INR
TXN00190,12-04-2023,SBIN,Banking,SELL,31,796.56,24693.36,7.41,24.69,24661.26,Upstox,NSE,INR
TXN00191,04-03-2023,TATAMOTORS,Auto,SELL,83,1064.48,88351.84,26.51,88.35,88236.98,Angel One,NSE,INR
TXN00192,04-04-2023,WIPRO,IT,SELL,16,462.54,7400.64,2.22,7.4,7391.02,Groww,NSE,INR
TXN00193,07-09-2023,MARUTI,Auto,SELL,7,14266.6,99866.2,29.96,99.87,99736.37,Groww,NSE,INR
TXN00194,10-08-2023,MARUTI,Auto,BUY,98,11394.52,1116662.96,335,1116.66,1118114.62,Groww,NSE,INR
TXN00195,11-10-2023,ICICIBANK,Banking,BUY,77,1331.24,102505.48,30.75,102.51,102638.74,Groww,NSE,INR
TXN00196,27-01-2023,INFY,IT,BUY,23,1771.11,40735.53,12.22,40.74,40788.49,Groww,NSE,INR
TXN00197,17-01-2023,RELIANCE,Energy,SELL,31,2680.92,83108.52,24.93,83.11,83000.48,Groww,NSE,INR
TXN00198,22-06-2024,WIPRO,IT,SELL,95,441.52,41944.4,12.58,41.94,41889.88,Zerodha,NSE,INR
TXN00199,09-06-2024,TCS,IT,SELL,100,3872.21,387221,116.17,387.22,386717.61,HDFC Sec,NSE,INR
TXN00200,17-06-2024,TCS,IT,BUY,29,3843.85,111471.65,33.44,111.47,111616.56,Upstox,NSE,INR
TXN00201,05-05-2024,SBIN,Banking,BUY,4,844.83,3379.32,1.01,3.38,3383.71,Angel One,NSE,INR
TXN00202,17-03-2023,BAJFINANCE,Finance,SELL,63,7496.39,472272.57,141.68,472.27,471658.62,Zerodha,NSE,INR
TXN00203,09-10-2023,ICICIBANK,Banking,BUY,9,1269.96,11429.64,3.43,11.43,11444.5,HDFC Sec,NSE,INR
TXN00204,27-06-2024,MARUTI,Auto,SELL,42,12681.34,532616.28,159.78,532.62,531923.88,Upstox,NSE,INR
TXN00205,28-04-2023,SBIN,Banking,BUY,56,811.35,45435.6,13.63,45.44,45494.67,HDFC Sec,NSE,INR
TXN00206,14-12-2023,HDFCBANK,Banking,SELL,30,1586.01,47580.3,14.27,47.58,47518.45,Angel One,NSE,INR
TXN00207,13-03-2024,BAJFINANCE,Finance,SELL,13,6921.06,89973.78,26.99,89.97,89856.82,Upstox,NSE,INR
TXN00208,10-03-2023,WIPRO,IT,SELL,20,490.77,9815.4,2.94,9.82,9802.64,Zerodha,NSE,INR
TXN00209,14-05-2023,TCS,IT,SELL,13,3424.08,44513.04,13.35,44.51,44455.18,HDFC Sec,NSE,INR
TXN00210,06-05-2023,RELIANCE,Energy,SELL,72,2872.63,206829.36,62.05,206.83,206560.48,Angel One,NSE,INR
TXN00211,22-02-2023,ICICIBANK,Banking,SELL,97,1367.86,132682.42,39.8,132.68,132509.94,Upstox,NSE,INR
TXN00212,08-06-2023,MARUTI,Auto,BUY,14,11796.68,165153.52,49.55,165.15,165368.22,Angel One,NSE,INR
TXN00213,28-04-2023,HDFCBANK,Banking,SELL,45,1788.78,80495.1,24.15,80.5,80390.45,Upstox,NSE,INR
TXN00214,01-10-2023,MARUTI,Auto,BUY,55,11473.1,631020.5,189.31,631.02,631840.83,Zerodha,NSE,INR
TXN00215,14-12-2023,INFY,IT,SELL,98,1630.97,159835.06,47.95,159.84,159627.27,Upstox,NSE,INR
